,0,1
0,['8'],['./data/trainImg/0/well_6506_12_5_3944.0_3945.0_194.png']
1,['0'],['./data/trainImg/0/well_6506_12_5_3944.0_3945.0_195.png']
2,['0'],['./data/trainImg/0/well_6506_12_5_3944.0_3945.0_196.png']
3,['8'],['./data/trainImg/0/well_6506_12_5_3945.0_3946.0_197.png']
4,['8'],['./data/trainImg/0/well_6506_12_5_3945.0_3946.0_198.png']
5,['0'],['./data/trainImg/0/well_6506_12_5_3945.0_3946.0_199.png']
6,['0'],['./data/trainImg/0/well_6506_12_5_3945.0_3946.0_200.png']
7,['8'],['./data/trainImg/0/well_6506_12_5_3945.0_3946.0_201.png']
8,['8'],['./data/trainImg/0/well_6506_12_5_3946.0_3947.0_202.png']
9,['8'],['./data/trainImg/0/well_6506_12_5_3946.0_3947.0_203.png']
10,['8'],['./data/trainImg/0/well_6506_12_5_3946.0_3947.0_204.png']
11,['8'],['./data/trainImg/0/well_6506_12_5_3946.0_3947.0_205.png']
12,['0'],['./data/trainImg/0/well_6506_12_5_3946.0_3947.0_206.png']
13,['0'],['./data/trainImg/0/well_6506_12_5_3947.0_3948.0_207.png']
14,['8'],['./data/trainImg/0/well_6506_12_5_3947.0_3948.0_208.png']
15,['8'],['./data/trainImg/0/well_6506_12_5_3947.0_3948.0_209.png']
16,['8'],['./data/trainImg/0/well_6506_12_5_3947.0_3948.0_210.png']
17,['0'],['./data/trainImg/0/well_6506_12_5_3947.0_3948.0_211.png']
18,['8'],['./data/trainImg/0/well_6506_12_5_3948.0_3949.0_212.png']
19,['8'],['./data/trainImg/0/well_6506_12_5_3948.0_3949.0_213.png']
20,['8'],['./data/trainImg/0/well_6506_12_5_3948.0_3949.0_214.png']
21,['10'],['./data/trainImg/1/well_6406_3_2_4047.0_4048.0_551.png']
22,['8'],['./data/trainImg/1/well_6406_3_2_4047.0_4048.0_552.png']
23,['0'],['./data/trainImg/1/well_6406_3_2_4048.0_4049.0_553.png']
24,['8'],['./data/trainImg/1/well_6406_3_2_4048.0_4049.0_554.png']
25,['0'],['./data/trainImg/1/well_6406_3_2_4288.0_4289.0_1000.png']
26,['0'],['./data/trainImg/1/well_6406_3_2_4288.0_4289.0_997.png']
27,['10'],['./data/trainImg/1/well_6406_3_2_4288.0_4289.0_998.png']
28,['0'],['./data/trainImg/1/well_6406_3_2_4288.0_4289.0_999.png']
29,['10'],['./data/trainImg/1/well_6406_3_2_4289.0_4290.0_1001.png']
30,['10'],['./data/trainImg/1/well_6406_3_2_4289.0_4290.0_1002.png']
31,['0'],['./data/trainImg/1/well_6406_3_2_4289.0_4290.0_1003.png']
32,['0'],['./data/trainImg/1/well_6406_3_2_4289.0_4290.0_1004.png']
33,['10'],['./data/trainImg/1/well_6406_3_2_4289.0_4290.0_1005.png']
34,['0'],['./data/trainImg/1/well_6406_3_2_4290.0_4291.0_1006.png']
35,['10'],['./data/trainImg/1/well_6406_3_2_4290.0_4291.0_1007.png']
36,['0'],['./data/trainImg/1/well_6406_3_2_4290.0_4291.0_1008.png']
37,['10'],['./data/trainImg/1/well_6406_3_2_4290.0_4291.0_1009.png']
38,['10'],['./data/trainImg/1/well_6406_3_2_4290.0_4291.0_1010.png']
39,['0'],['./data/trainImg/1/well_6406_3_2_4291.0_4292.0_1011.png']
40,['0'],['./data/trainImg/1/well_6406_3_2_4291.0_4292.0_1012.png']
41,['10'],['./data/trainImg/1/well_6406_3_2_4291.0_4292.0_1013.png']
42,['0'],['./data/trainImg/1/well_6406_3_2_4291.0_4292.0_1014.png']
43,['10'],['./data/trainImg/1/well_6406_3_2_4291.0_4292.0_1015.png']
44,['0'],['./data/trainImg/1/well_6406_3_2_4292.0_4293.0_1016.png']
45,['10'],['./data/trainImg/1/well_6406_3_2_4292.0_4293.0_1017.png']
46,['0'],['./data/trainImg/1/well_6406_3_2_4292.0_4293.0_1018.png']
47,['0'],['./data/trainImg/1/well_6406_3_2_4292.0_4293.0_1019.png']
48,['10'],['./data/trainImg/1/well_6506_12_5_3948.0_3949.0_215.png']
49,['10'],['./data/trainImg/1/well_6506_12_5_3948.0_3949.0_216.png']
50,['0'],['./data/trainImg/1/well_6506_12_5_3949.0_3950.0_217.png']
51,['0'],['./data/trainImg/1/well_6506_12_5_3949.0_3950.0_218.png']
52,['8'],['./data/trainImg/1/well_6506_12_5_3949.0_3950.0_219.png']
53,['10'],['./data/trainImg/1/well_6506_12_5_3949.0_3950.0_220.png']
54,['10'],['./data/trainImg/1/well_6506_12_5_3949.0_3950.0_221.png']
55,['0'],['./data/trainImg/1/well_6506_12_5_3950.0_3951.0_222.png']
56,['0'],['./data/trainImg/1/well_6506_12_5_3950.0_3951.0_223.png']
57,['0'],['./data/trainImg/1/well_6506_12_5_3950.0_3951.0_224.png']
58,['0'],['./data/trainImg/1/well_6506_12_5_3950.0_3951.0_225.png']
59,['0'],['./data/trainImg/1/well_6506_12_5_3962.0_3963.0_286.png']
60,['0'],['./data/trainImg/1/well_6506_12_5_3963.0_3964.0_287.png']
61,['10'],['./data/trainImg/1/well_6506_12_5_3963.0_3964.0_288.png']
62,['0'],['./data/trainImg/1/well_6506_12_5_3963.0_3964.0_289.png']
63,['0'],['./data/trainImg/1/well_6506_12_5_3965.0_3966.0_300.png']
64,['0'],['./data/trainImg/1/well_6506_12_5_3965.0_3966.0_301.png']
65,['8'],['./data/trainImg/1/well_6506_12_5_3966.0_3967.0_302.png']
66,['10'],['./data/trainImg/1/well_6506_12_5_3966.0_3967.0_303.png']
67,['8'],['./data/trainImg/1/well_6506_12_5_3966.0_3967.0_304.png']
68,['0'],['./data/trainImg/1/well_6506_12_5_3966.0_3967.0_305.png']
69,['0'],['./data/trainImg/1/well_6506_12_5_3966.0_3967.0_306.png']
70,['10'],['./data/trainImg/1/well_6506_12_5_3967.0_3968.0_307.png']
71,['10'],['./data/trainImg/1/well_6506_12_5_3967.0_3968.0_308.png']
72,['0'],['./data/trainImg/1/well_6506_12_5_4187.0_4188.0_1235.png']
73,['0'],['./data/trainImg/1/well_6506_12_5_4188.0_4189.0_1236.png']
74,['10'],['./data/trainImg/1/well_6506_12_5_4188.0_4189.0_1237.png']
75,['10'],['./data/trainImg/1/well_6506_12_5_4188.0_4189.0_1238.png']
76,['0'],['./data/trainImg/1/well_6506_12_5_4188.0_4189.0_1239.png']
77,['0'],['./data/trainImg/1/well_6506_12_5_4188.0_4189.0_1240.png']
78,['8'],['./data/trainImg/1/well_6506_12_5_4189.0_4190.0_1241.png']
79,['0'],['./data/trainImg/1/well_6506_12_5_4189.0_4190.0_1242.png']
80,['8'],['./data/trainImg/1/well_6506_12_5_4189.0_4190.0_1243.png']
81,['8'],['./data/trainImg/1/well_6506_12_5_4189.0_4190.0_1244.png']
82,['10'],['./data/trainImg/1/well_6506_12_5_4189.0_4190.0_1245.png']
83,['8'],['./data/trainImg/1/well_6506_12_5_4190.0_4191.0_1246.png']
84,['0'],['./data/trainImg/1/well_6506_12_5_4190.0_4191.0_1247.png']
85,['8'],['./data/trainImg/1/well_6506_12_5_4190.0_4191.0_1248.png']
86,['8'],['./data/trainImg/1/well_6506_12_5_4190.0_4191.0_1249.png']
87,['10'],['./data/trainImg/1/well_6506_12_5_4190.0_4191.0_1250.png']
88,['8'],['./data/trainImg/1/well_6506_12_5_4191.0_4192.0_1251.png']
89,['0'],['./data/trainImg/1/well_6506_12_5_4191.0_4192.0_1252.png']
90,['8'],['./data/trainImg/1/well_6506_12_5_4191.0_4192.0_1253.png']
91,['8'],['./data/trainImg/1/well_6506_12_5_4191.0_4192.0_1254.png']
92,['10'],['./data/trainImg/1/well_6506_12_5_4194.0_4195.0_1268.png']
93,['0'],['./data/trainImg/1/well_6506_12_5_4194.0_4195.0_1269.png']
94,['10'],['./data/trainImg/1/well_6506_12_5_4194.0_4195.0_1270.png']
95,['0'],['./data/trainImg/1/well_6506_12_5_4195.0_4196.0_1271.png']
96,['10'],['./data/trainImg/1/well_6506_12_5_4195.0_4196.0_1272.png']
97,['0'],['./data/trainImg/1/well_6506_12_5_4195.0_4196.0_1273.png']
98,['8'],['./data/trainImg/1/well_6506_12_5_4195.0_4196.0_1274.png']
99,['10'],['./data/trainImg/1/well_6506_12_5_4196.0_4197.0_1276.png']
100,['10'],['./data/trainImg/1/well_6506_12_5_4196.0_4197.0_1277.png']
101,['0'],['./data/trainImg/1/well_6506_12_5_4196.0_4197.0_1278.png']
102,['0'],['./data/trainImg/1/well_6506_12_5_4196.0_4197.0_1279.png']
103,['0'],['./data/trainImg/1/well_6506_12_5_4196.0_4197.0_1280.png']
104,['10'],['./data/trainImg/1/well_6506_12_5_4197.0_4198.0_1281.png']
105,['10'],['./data/trainImg/1/well_6506_12_5_4197.0_4198.0_1282.png']
106,['0'],['./data/trainImg/1/well_6506_12_5_4197.0_4198.0_1283.png']
107,['0'],['./data/trainImg/1/well_6506_12_5_4197.0_4198.0_1284.png']
108,['10'],['./data/trainImg/1/well_6506_12_5_4197.0_4198.0_1285.png']
109,['10'],['./data/trainImg/1/well_6506_12_5_4198.0_4199.0_1286.png']
110,['8'],['./data/trainImg/1/well_6506_12_5_4198.0_4199.0_1287.png']
111,['0'],['./data/trainImg/1/well_6506_12_5_4201.0_4202.0_1305.png']
112,['8'],['./data/trainImg/1/well_6506_12_5_4202.0_4203.0_1306.png']
113,['8'],['./data/trainImg/1/well_6506_12_5_4202.0_4203.0_1307.png']
114,['0'],['./data/trainImg/1/well_6506_12_5_4202.0_4203.0_1308.png']
115,['0'],['./data/trainImg/1/well_6506_12_5_4202.0_4203.0_1309.png']
116,['10'],['./data/trainImg/1/well_6506_12_5_4270.0_4271.0_1310.png']
117,['0'],['./data/trainImg/1/well_6506_12_5_4335.0_4336.0_1542.png']
118,['10'],['./data/trainImg/10/well_6406_3_2_4320.0_4321.0_1149.png']
119,['10'],['./data/trainImg/10/well_6506_12_6_4330.0_4331.0_84.png']
120,['10'],['./data/trainImg/10/well_6506_12_6_4331.0_4332.0_86.png']
121,['10'],['./data/trainImg/10/well_6506_12_6_4331.0_4332.0_87.png']
122,['10'],['./data/trainImg/10/well_6506_12_6_4331.0_4332.0_88.png']
123,['10'],['./data/trainImg/10/well_6506_12_6_4332.0_4333.0_91.png']
124,['10'],['./data/trainImg/10/well_6506_12_6_4332.0_4333.0_92.png']
125,['10'],['./data/trainImg/10/well_6506_12_6_4344.0_4345.0_135.png']
126,['0'],['./data/trainImg/10/well_6506_12_6_4344.0_4345.0_136.png']
127,['10'],['./data/trainImg/10/well_6506_12_6_4467.0_4468.0_368.png']
128,['10'],['./data/trainImg/10/well_6506_12_6_4468.0_4469.0_373.png']
129,['10'],['./data/trainImg/10/well_6506_12_6_4468.0_4469.0_374.png']
130,['10'],['./data/trainImg/10/well_6506_12_6_4468.0_4469.0_375.png']
131,['10'],['./data/trainImg/10/well_6506_12_6_4469.0_4470.0_376.png']
132,['10'],['./data/trainImg/10/well_6506_12_6_4469.0_4470.0_377.png']
133,['10'],['./data/trainImg/10/well_6506_12_6_4469.0_4470.0_378.png']
134,['0'],['./data/trainImg/10/well_6506_12_6_4469.0_4470.0_379.png']
135,['10'],['./data/trainImg/10/well_6506_12_6_4469.0_4470.0_380.png']
136,['10'],['./data/trainImg/10/well_6506_12_6_4471.0_4472.0_385.png']
137,['10'],['./data/trainImg/10/well_6506_12_6_4471.0_4472.0_386.png']
138,['10'],['./data/trainImg/10/well_6506_12_6_4471.0_4472.0_387.png']
139,['10'],['./data/trainImg/10/well_6506_12_6_4473.0_4474.0_396.png']
140,['10'],['./data/trainImg/10/well_6506_12_6_4473.0_4474.0_397.png']
141,['0'],['./data/trainImg/10/well_6506_12_6_4473.0_4474.0_398.png']
142,['10'],['./data/trainImg/10/well_6506_12_6_4474.0_4475.0_399.png']
143,['10'],['./data/trainImg/10/well_6506_12_6_4474.0_4475.0_400.png']
144,['0'],['./data/trainImg/10/well_6506_12_6_4474.0_4475.0_401.png']
145,['10'],['./data/trainImg/10/well_6506_12_6_4474.0_4475.0_402.png']
146,['10'],['./data/trainImg/10/well_6506_12_6_4474.0_4475.0_403.png']
147,['10'],['./data/trainImg/10/well_6506_12_6_4475.0_4476.0_404.png']
148,['10'],['./data/trainImg/10/well_6506_12_6_4475.0_4476.0_405.png']
149,['10'],['./data/trainImg/10/well_6506_12_6_4482.0_4483.0_437.png']
150,['10'],['./data/trainImg/10/well_6506_12_6_4484.0_4485.0_446.png']
151,['10'],['./data/trainImg/10/well_6506_12_6_4484.0_4485.0_447.png']
152,['10'],['./data/trainImg/10/well_6506_12_6_4511.0_4512.0_570.png']
153,['10'],['./data/trainImg/10/well_6506_12_6_4511.0_4512.0_571.png']
154,['10'],['./data/trainImg/10/well_6506_12_6_4512.0_4513.0_576.png']
155,['10'],['./data/trainImg/10/well_6506_12_6_4512.0_4513.0_577.png']
156,['10'],['./data/trainImg/10/well_6506_12_6_4513.0_4514.0_578.png']
157,['10'],['./data/trainImg/10/well_6506_12_6_4520.0_4521.0_613.png']
158,['10'],['./data/trainImg/10/well_6506_12_6_4531.0_4532.0_658.png']
159,['10'],['./data/trainImg/10/well_6506_12_6_4556.0_4557.0_731.png']
160,['0'],['./data/trainImg/10/well_6506_12_6_4556.0_4557.0_732.png']
161,['10'],['./data/trainImg/10/well_6506_12_6_4577.0_4578.0_820.png']
162,['0'],['./data/trainImg/10/well_6506_12_6_4583.0_4584.0_848.png']
163,['10'],['./data/trainImg/10/well_6506_12_6_4584.0_4585.0_852.png']
164,['10'],['./data/trainImg/10/well_6506_12_6_4585.0_4586.0_856.png']
165,['10'],['./data/trainImg/10/well_6506_12_6_4589.0_4590.0_880.png']
166,['10'],['./data/trainImg/10/well_6506_12_6_4627.0_4628.0_1044.png']
167,['10'],['./data/trainImg/10/well_6506_12_6_4631.0_4632.0_1060.png']
168,['10'],['./data/trainImg/10/well_6506_12_6_4631.0_4632.0_1061.png']
169,['10'],['./data/trainImg/10/well_6506_12_6_4633.0_4634.0_1067.png']
170,['10'],['./data/trainImg/11/well_6506_12_6_4530.0_4531.0_657.png']
171,['0'],['./data/trainImg/2/well_6406_3_2_4037.0_4038.0_503.png']
172,['0'],['./data/trainImg/2/well_6406_3_2_4038.0_4039.0_507.png']
173,['10'],['./data/trainImg/2/well_6406_3_2_4038.0_4039.0_508.png']
174,['10'],['./data/trainImg/2/well_6406_3_2_4038.0_4039.0_509.png']
175,['10'],['./data/trainImg/2/well_6406_3_2_4039.0_4040.0_510.png']
176,['10'],['./data/trainImg/2/well_6406_3_2_4039.0_4040.0_511.png']
177,['0'],['./data/trainImg/2/well_6406_3_2_4039.0_4040.0_512.png']
178,['8'],['./data/trainImg/2/well_6406_3_2_4039.0_4040.0_513.png']
179,['10'],['./data/trainImg/2/well_6406_3_2_4039.0_4040.0_514.png']
180,['0'],['./data/trainImg/2/well_6406_3_2_4040.0_4041.0_515.png']
181,['10'],['./data/trainImg/2/well_6406_3_2_4040.0_4041.0_516.png']
182,['10'],['./data/trainImg/2/well_6406_3_2_4040.0_4041.0_517.png']
183,['10'],['./data/trainImg/2/well_6406_3_2_4040.0_4041.0_518.png']
184,['10'],['./data/trainImg/2/well_6406_3_2_4040.0_4041.0_519.png']
185,['10'],['./data/trainImg/2/well_6406_3_2_4041.0_4042.0_520.png']
186,['10'],['./data/trainImg/2/well_6406_3_2_4041.0_4042.0_521.png']
187,['10'],['./data/trainImg/2/well_6406_3_2_4041.0_4042.0_522.png']
188,['0'],['./data/trainImg/2/well_6406_3_2_4045.0_4046.0_539.png']
189,['10'],['./data/trainImg/2/well_6406_3_2_4045.0_4046.0_540.png']
190,['8'],['./data/trainImg/2/well_6406_3_2_4045.0_4046.0_541.png']
191,['10'],['./data/trainImg/2/well_6406_3_2_4045.0_4046.0_542.png']
192,['0'],['./data/trainImg/2/well_6406_3_2_4046.0_4047.0_543.png']
193,['0'],['./data/trainImg/2/well_6406_3_2_4046.0_4047.0_544.png']
194,['10'],['./data/trainImg/2/well_6406_3_2_4046.0_4047.0_545.png']
195,['0'],['./data/trainImg/2/well_6406_3_2_4046.0_4047.0_546.png']
196,['10'],['./data/trainImg/2/well_6406_3_2_4046.0_4047.0_547.png']
197,['0'],['./data/trainImg/2/well_6406_3_2_4047.0_4048.0_548.png']
198,['10'],['./data/trainImg/2/well_6406_3_2_4047.0_4048.0_549.png']
199,['0'],['./data/trainImg/2/well_6406_3_2_4047.0_4048.0_550.png']
200,['8'],['./data/trainImg/2/well_6406_3_2_4048.0_4049.0_555.png']
201,['8'],['./data/trainImg/2/well_6406_3_2_4048.0_4049.0_556.png']
202,['10'],['./data/trainImg/2/well_6406_3_2_4048.0_4049.0_557.png']
203,['10'],['./data/trainImg/2/well_6406_3_2_4049.0_4050.0_558.png']
204,['10'],['./data/trainImg/2/well_6406_3_2_4049.0_4050.0_559.png']
205,['0'],['./data/trainImg/2/well_6406_3_2_4049.0_4050.0_560.png']
206,['8'],['./data/trainImg/2/well_6406_3_2_4049.0_4050.0_561.png']
207,['10'],['./data/trainImg/2/well_6406_3_2_4049.0_4050.0_562.png']
208,['10'],['./data/trainImg/2/well_6406_3_2_4050.0_4051.0_563.png']
209,['0'],['./data/trainImg/2/well_6406_3_2_4050.0_4051.0_564.png']
210,['10'],['./data/trainImg/2/well_6406_3_2_4050.0_4051.0_565.png']
211,['8'],['./data/trainImg/2/well_6406_3_2_4050.0_4051.0_566.png']
212,['10'],['./data/trainImg/2/well_6406_3_2_4050.0_4051.0_567.png']
213,['0'],['./data/trainImg/2/well_6406_3_2_4051.0_4052.0_568.png']
214,['10'],['./data/trainImg/2/well_6406_3_2_4051.0_4052.0_569.png']
215,['8'],['./data/trainImg/2/well_6406_3_2_4051.0_4052.0_570.png']
216,['0'],['./data/trainImg/2/well_6406_3_2_4051.0_4052.0_571.png']
217,['0'],['./data/trainImg/2/well_6406_3_2_4051.0_4052.0_572.png']
218,['0'],['./data/trainImg/2/well_6406_3_2_4052.0_4053.0_573.png']
219,['0'],['./data/trainImg/2/well_6406_3_2_4052.0_4053.0_574.png']
220,['10'],['./data/trainImg/2/well_6406_3_2_4052.0_4053.0_575.png']
221,['0'],['./data/trainImg/2/well_6406_3_2_4052.0_4053.0_576.png']
222,['8'],['./data/trainImg/2/well_6406_3_2_4052.0_4053.0_577.png']
223,['0'],['./data/trainImg/2/well_6406_3_2_4053.0_4054.0_578.png']
224,['10'],['./data/trainImg/2/well_6406_3_2_4053.0_4054.0_579.png']
225,['8'],['./data/trainImg/2/well_6406_3_2_4053.0_4054.0_580.png']
226,['0'],['./data/trainImg/2/well_6406_3_2_4053.0_4054.0_581.png']
227,['10'],['./data/trainImg/2/well_6406_3_2_4053.0_4054.0_582.png']
228,['0'],['./data/trainImg/2/well_6406_3_2_4054.0_4055.0_583.png']
229,['8'],['./data/trainImg/2/well_6406_3_2_4054.0_4055.0_584.png']
230,['10'],['./data/trainImg/2/well_6406_3_2_4054.0_4055.0_585.png']
231,['10'],['./data/trainImg/2/well_6406_3_2_4054.0_4055.0_586.png']
232,['8'],['./data/trainImg/2/well_6406_3_2_4054.0_4055.0_587.png']
233,['0'],['./data/trainImg/2/well_6406_3_2_4055.0_4056.0_588.png']
234,['8'],['./data/trainImg/2/well_6406_3_2_4055.0_4056.0_589.png']
235,['10'],['./data/trainImg/2/well_6406_3_2_4055.0_4056.0_590.png']
236,['8'],['./data/trainImg/2/well_6406_3_2_4055.0_4056.0_591.png']
237,['10'],['./data/trainImg/2/well_6406_3_2_4055.0_4056.0_592.png']
238,['8'],['./data/trainImg/2/well_6406_3_2_4056.0_4057.0_593.png']
239,['0'],['./data/trainImg/2/well_6406_3_2_4056.0_4057.0_594.png']
240,['10'],['./data/trainImg/2/well_6406_3_2_4069.0_4070.0_607.png']
241,['10'],['./data/trainImg/2/well_6406_3_2_4070.0_4071.0_608.png']
242,['10'],['./data/trainImg/2/well_6406_3_2_4072.0_4073.0_620.png']
243,['10'],['./data/trainImg/2/well_6406_3_2_4135.0_4136.0_915.png']
244,['10'],['./data/trainImg/2/well_6406_3_2_4136.0_4137.0_916.png']
